transicao,CO_ENTIDADE,NO_ENTIDADE,NO_MUNICIPIO,taxa_real,taxa_prev,mat_t1,alunos_real,alunos_prev,residuo_alunos
2022-2023,26075733,ESCOLA DUQUE DE CAXIAS,Garanhuns,0.0,1.2239909172058105,232.0,0.0,2.8396589279174806,-2.8396589279174806
2022-2023,26075768,ESCOLA DE REFERENCIA EM ENSINO MEDIO HENRIQUE DIAS,Garanhuns,0.0,0.18940898776054382,265.0,0.0,0.5019338175654411,-0.5019338175654411
2022-2023,26075903,ESCOLA DE REFERENCIA EM ENSINO MEDIO PROFESSOR JERONIMO GUEIROS,Garanhuns,0.0,0.18940898776054382,363.0,0.0,0.6875546255707741,-0.6875546255707741
2022-2023,26075911,ESCOLA PROFESSORA ELISA COELHO,Garanhuns,0.0,0.19525068998336792,431.0,0.0,0.8415304738283158,-0.8415304738283158
2022-2023,26075920,ESCOLA PROFESSORA ELVIRA VIANA,Garanhuns,0.0,0.7128909826278687,223.0,0.0,1.5897468912601471,-1.5897468912601471
2022-2023,26075970,ESCOLA SAO CRISTOVAO,Garanhuns,0.0,0.6166175603866577,101.0,0.0,0.6227837359905243,-0.6227837359905243
2022-2023,26075997,ESCOLA SENADOR ADERBAL JUREMA - GARANHUNS,Garanhuns,0.0,0.20962783694267273,280.0,0.0,0.5869579434394836,-0.5869579434394836
2022-2023,26076047,ESCOLA SIMOA GOMES,Garanhuns,0.5,0.9415363073348999,427.0,2.1350000000000002,4.020360032320022,-1.8853600323200221
2022-2023,26076250,ESCOLA DE REFERENCIA EM ENSINO MEDIO VIRGEM DO SOCORRO,Garanhuns,0.0,0.287934809923172,194.0,0.0,0.5585935312509537,-0.5585935312509537
2022-2023,26076357,ESCOLA INSTITUTO PRESBITERIANO DE HELIOPOLIS,Garanhuns,0.0,0.2288864552974701,305.0,0.0,0.6981036886572838,-0.6981036886572838
2022-2023,26132230,ESCOLA DE APLICACAO PROFESSORA IVONITA ALVES GUERRA,Garanhuns,0.0,0.18297792971134186,226.0,0.0,0.4135301211476326,-0.4135301211476326
2022-2023,26188538,ESCOLA TECNICA ESTADUAL ARIANO VILAR SUASSUNA - GARANHUNS,Garanhuns,0.0,0.17293724417686462,478.0,0.0,0.826640027165413,-0.826640027165413
